English sentence	fr	zh_cn	ja
We asked the bees to learn not just to go to a certain color, but to a certain color flower only when it's in a certain pattern.	Nous avons demandé à les abeilles non seulement d'apprendre à aller vers une certaine couleur, mais seulement vers une fleur d'une certaine couleur quand elle était dans un schéma précis.	我们要求蜜蜂学会不仅仅是飞向某种特定颜色 ， 而是{{飞向}}形成了特定图案的特定颜色的花朵。	ミツバチに花の色だけでなく特定の色の花が特定のパターンのときだけ行くように学習させたのです
And three in here.	Et trois ici.	这儿有三只。	(生徒: ２ 匹が上で ３ 匹がこっち)
Two billion people without sanitation.	2 milliards de personnes sans assainissement.	二十亿人没有基本卫生设施 ；	20 億人の人は衛生施設なしで生活しています
In an ideal world, we would solve them all, but we do n't.	Dans un monde idéal, nous les résoudrions tous, mais nous ne le faisons pas.	在一个完美的世界 ， 我们会解决所有的问题 ， 可是实际上我们不会 ，	全ての問題が解決されますが実際は違います
Likewise in communicable diseases.	Même chose pour les maladies contagieuses.	同样 ， 在传染病的范畴上 ，	伝染病についても同様です
I think we should do all things, but we do n't.	Je pense que nous devrions tout faire, mais nous ne le faisons pas.	我们应该做所有的事情 ， 但事实上却不能。	しかし実際はそうではない
But the point, of course, is still to say, if you get another 100 billion dollars, we still want to spend that in the best possible way, do n't we?	Mais l ’ idée bien sûr, reste de dire que, si on obtient 100 autres milliards de dollars, nous voulons toujours les dépenser de la meilleure façon possible, n ’ est -ce pas ?	不过 ， 我的论点还是一样 ： 如果我们有额外一千亿美元 ， 我们仍想把这笔钱花在最佳用途上 ， 对不对 ？	いやそれでもさらに 1000 億ドルを使うのならいちばんいい使い方をしたいですよね
And we really are seeing this in very different terms from the kind of mapping and direction site that one is used to.	Et nous voyons vraiment ça de façon très différente de les sites qui proposent des cartes et des directions et à lesquels on est habitués.	我们是真正的将它当作一个完全不同的名词来看待从而改变大家曾经对地图和方向的概念	そうして以前あったような地図サイトやナビサイトとは大きく異なるものが出来てきていると思います。
And so, when you fly down — (Applause) Thank you. When you fly down to the ground, and you see this kind of panoramic imagery, the first thing that you might notice is that it's not just a picture, there's just as much three - dimensional understanding of this environment as there is of the three - dimensional city from above, so if I click on something to get a closer view of it, then, the fact that that transition looks as it does, is a function of all of that geometry, all of that 3D understanding behind this model.	Et donc, quand vous vous rapprochez de le sol — (applaudissements) Merci. Quand vous vous rapprochez de le sol et que vous voyez cette sorte d'image panoramique, la première chose que vous remarquerez c'est que ce n'est pas seulement une image, il y a autant d'éléments tri-dimensionels dans cet environement qu'il y en a dans la ville en 3D que nous avons vu de le ciel, donc si je clique sur quelque chose pour le voir de plus près, alors la transition peut être rendue {{comme cela}} grâce à toute cette géométrie, à toute cette recherche en 3D qui est derrière ce modèle.	因此 ， 你往下飞 — (掌声) — 谢谢 ， 当你飞到陆地的时候你便可以看见类似的全景图像你第一个注意到的是 ， 这只不过是一张照片但是{{内含}}的三维信息和俯瞰三维城市一样丰富所以当我点击目标靠近观察事实上你可看到的那个转换的过程这都靠几何的功能这个模型的背后是对{{三维}}的整体认识	そこで下に降りていくと — （ 拍手 ） ありがとう。地上に降りていくと、この様にパノラマ画像が見えてきます。まず皆さんが初めに気付くことは、これは単なる写真ではなく上空からの 3 D {{画像}}を見ることが出来た様に{{地上}}レベルでも環境が 3 次元的に把握されています。そこでもっと近づいてみるために何かクリックしてみましょう。 3 次元モデルと幾何学に基づいて 3 D 世界の中に実際にいるかのように移動が行われます。
And I'm not going to show you some of the wonderful historic imagery in here, but there are some with horses and carriages and so on as well.	Et je ne vais pas vous montrer maintenant de superbes images historiques mais il y en a aussi avec des chevaux et des carrosses et tout ça.	我就不展示精彩的历史图象但是其中有马车之类的东西	今は時間の関係でお見せ出来ないのですが馬と馬車が少し映っている歴史的写真などがあります。
No, no. The other way.	Non, non, de l'autre côté.	不 ， 不 ， 另外一个方向	違うそっちじゃなくて逆だよ。
Yeah, yeah, back to the corner, back to the corner.	Oui, oui, retourne vers le coin. Vers le coin.	对了 ， 对了 ， 回到角落 ， 回到角落	そうそっち。端っこに戻って。端っこね。
OK, OK, back to the corner, back to the corner, back to the corner.	D'accord, d'accord. Retour vers le coin. Retour vers le coin, vers le coin.	好吧 ， 好吧 ， 回到角落 ， 回到角落 ， 回到角落	わかった、わかった。端っこに戻って。端っこ端っこ。
Dreadful. Thumbs down.	Horrible. Mortel.	糟透了。很差劲。	嫌悪不満
Embarrassing. Okay, wonderful, great.	Embarrassant. Très bien, magnifique, très bien.	难堪。很好 ， 是的。	羞恥良い{{回答}}です
And when we act like it is, and we stop entertaining the possibility that we could be wrong, well that's when we end up doing things like dumping 200 million gallons of oil into the Gulf of Mexico, or torpedoing the global economy.	Et quand nous agissons comme si c'était le cas, et nous arrêtons d'envisager la possibilité que nous pourrions avoir tort, et bien c'est là qu'on finit par faire des choses comme déverser 750 millions de litres de pétrole dans le golfe de le Mexique, ou torpiller l'économie mondiale.	当我们依此行事不再思考我们是否犯错我们就有可能把两百湾加仑的石油倒进墨西哥湾或是颠覆世界经济	{{正しさの内部感覚を信頼し}}間違いをする可能性を楽しむ事をやめてしまうとメキシコ湾に ２ 億ガロンの石油を投棄したり世界経済を粉砕したりする事態に陥ります
This attachment to our own rightness keeps us from preventing mistakes when we absolutely need to and causes us to treat each other terribly.	Cet attachement à notre propre bien-fondé nous empêche de prévenir les erreurs lorsque nous en avons absolument besoin et nous amène à traiter les autres terriblement.	我们的自以为是让我们在最需要的时候无法预防犯错更让我们互相仇视	自身の正しさへの愛着は最も大事な時でも間違いの防止には役立ちません酷い態度で接し合う事態を招きます
I do n't. Nor, I suspect, do many other people who are talking about what the future will bring.	Moi je {{ne le sais pas}}. Et, je suppose, beaucoup de personnes qui parlent de le futur {{ne le savent pas}} non plus.	不光是我 ， 许多在谈论未来是什么样子的人{{其实并不知道未来是什么样子的}}。	私は{{知りません}}将来どうなるとか話している人も大方{{知らない}}だろうと思います
But although I would love to talk about topology with you, I'm not going to.	Mais même si j'aimerais bien parler topologie avec vous, je ne vais pas le faire.	虽然我很乐意跟你们解释拓扑学 ， 但是今天我不会。	トポロジーについてすごく話したいんですが{{その話}}はしません
In the background, my bicycle.	En arrière-plan, mon vélo.	（ 回到这张照片 ） 背景是我的自行车。	向こうに{{写っている}}のは私の自転車です
What they did n't tell you in physics — in eighth - grade physics — but they should have, and I wish they had, was that if you multiply the frequency times the wavelength of sound or light, you get a constant.	Ce qu'ils ne vous ont pas dit en {{cours}} de physique — en quatrième — mais ils auraient dû — et j'aurais aimé qu'ils vous {{le disent}} — est que si vous multipliez la fréquence fois la longueur d'onde de le son ou de la lumière, vous obtenez une constante.	但是他们在八年级物理课上没有告诉你的是 （ 他们应该{{告诉你的}} ， 我希望他们{{告诉你}} ） 当你将频率乘以声音或者光的波长 ， 你将得到一个常量。	中学 2 年の物理で教えていないのは本当は{{教える}}べきなんですが音や光の周波数と波長を掛け合わせると定数になるということです
Great for fishermen. Lots of money. Supporting local economies.	Bon pour les pêcheurs. Beaucoup d'argent. Soutien de les économies locales.	对渔民来说极大的好处。很多的钱。扶植地方经济。	釣人には有利です多額の資金が地域経済を支えてくれます
Well, if you must, I have a recipe for you.	Eh bien, si vous {{devez en manger}}, j'ai une recette pour vous.	如果你必须要的话 ， 那么我有一个食谱给你。	さて必要でしたらレシピがあります
And she would act as if she liked it or she did n't.	Et elle s'est comportée comme si elle aimait ça, ou si elle {{ne l'aimait}} pas.	然后作出了喜欢或不{{喜欢}}的表情。	それが好きとか嫌いというふりをしました
So the unlikely hypothesis actually has stronger evidence.	Donc l'hypothèse peu probable a en fait une évidence forte.	所以说看似不大可能发生的假设其实有更有力的证据。	ありえなさそうな仮説が実際はより強力な証拠を示しているのです
And in studies we've just been doing in my lab, similar studies, we've show that four year - olds are actually better at finding out an unlikely hypothesis than adults are when we give them exactly the same task.	Et dans les études que nous avons menées dans mon laboratoire, des études similaires, nous avons montré que les {{enfants}} de quatre ans étaient en fait plus doués dans la recherche d ’ une hypothèse incongrue par rapport à les adultes à qui on demandait d'accomplir exactement la même tache.	在我实验室里的类似研究 ， 我们发现 4 岁的小孩在相同的任务下 ， 比大人更擅长找那个不大可能{{发生}}的假设。	私達はこうした研究を始めたばかりですが実際は四歳児のほうがありそうもない仮説を見付け出すのは大人よりも優れているということがわかってきています
Here's one from Cristine Legare's lab.	En voici une de le laboratoire de Cristine Legare.	这是克里斯汀 · 勒加雷的一项{{实验}}。	クリスティーンレガール研究所です
And what she did was show children that yellow ones made it go and red ones did n't, and then she showed them an anomaly.	Et ce qu'elle a fait était de montrer à les enfants que les jaunes le faisait marcher et le rouge non, et puis elle leurs montrait une anomalie.	她向孩子展示黄色才能启动{{仪器}} ， 红色不行 ， 然后又向{{孩子们}}展示了一个奇怪现象。	子供達に黄色の積み木で{{機械}}が作動するけれど赤い{{積み木}}には{{反応}}しないことを見せた後例外を見せました
I think babies and children are actually more conscious than we are as adults.	Je crois que les bébés et les enfants sont en fait plus conscients que nous en tant qu'adultes.	我认为小孩子的意识事实上比我们大人的要强得多。	赤ちゃんがや幼児は大人よりももっと意識的なのです
Make a wish. (Blowing noise) Voice: Do n't tell, or it wo n't come true.	Fais un voeu. (bruit de souffle) Voix : Ne nous le dis pas, sinon il ne se réalisera pas.	许个愿。 （ 吹气声 ） 女声 ： 不要说出来 ， 否则它将无法成真。	願い事をして （ 吹き消す音 ） 「{{願い}}は誰にも言わないで」
And the third is a little bit less obvious.	La troisième {{raison}} est un peu moins évidente.	第三条就不那么明显了。	第 3 は少しややこしいです
A subtle conditioning process had begun, the implication that normal people do n't hear voices and the fact that I did meant that something was very seriously wrong.	Un subtil processus de conditionnement avait commencé, le fait que les gens normaux n'entendent pas de voix, alors que moi {{j'en entendais}}, signifiait que quelque chose n'allait vraiment pas.	{{她}}开始不着痕迹地导正我暗示幻听不是正常现象而且我自己也觉得很不对劲	そこから微妙な調節プロセスが始まったのです普通の人は声が聞こえないという意味私は何かとても変だという事実
A hospital admission followed, the first of many, a diagnosis of schizophrenia came next, and then, worst of all, a toxic, tormenting sense of hopelessness, humiliation and despair about myself and my prospects.	Une admission à l'hôpital s'en est suivi, la première d'une longue série, le diagnostic de schizophrénie est venu ensuite, et puis, pire que tout, un sentiment toxique et torturant de désespoir, d'humiliation et d'abattement vis-à-vis de moi et de mon avenir.	就在我住院后精神分裂的诊断也一一确定了最糟的是 ， 那种不抱希望、屈辱还有对自己和前途绝望的折磨令人痛苦不堪	入院を皮切りに統合失調症とまず診断され次第に自分と自分の将来に対し絶望と屈辱感に蝕まれるようになりました絶望と屈辱感に蝕まれるようになりました
Now looking back on the wreckage and despair of those years, it seems to me now as if someone died in that place, and yet, someone else was saved.	Aujourd'hui, quand je contemple le naufrage et le désespoir de ces années, il me semble que c'est comme si quelqu'un était mort à cet endroit, et pourtant, quelqu'un d'autre a été sauvé.	回首这些年的千疮百孔看来就像有人陨殁但另一个人却获救	当時の崩れた自分と絶望状態を振り返るとそこで １ 人の人間が死にそれでいてもう １人の人間が救われた様な気がします
I'm now very proud to be a part of Intervoice, the organizational body of the International Hearing Voices Movement, an initiative inspired by the work of Professor Marius Romme and Dr. Sandra Escher, which locates voice hearing as a survival strategy, a sane reaction to insane circumstances, not as an aberrant symptom of schizophrenia to be endured, but a complex, significant and meaningful experience to be explored.	Je suis aujourd'hui très fière de faire partie d'Intervoice, l'organisation de l'International Hearing Voices Movement, une initiative inspirée par les travaux de le professeur Marius Romme et de le Dr. Sandra Escher, qui situe le fait d'entendre des voix comme une stratégie de survie, une réaction saine à des circonstances folles, non pas comme un symptôme aberrant de la schizophrénie qui doit être enduré, mais comme une expérience complexe, importante et significative qui doit être explorée.	身为「众声喧哗」 (Intervoice) 的一员 ， 我引以为荣! 它是国际听声组织 (the International Hearing Voices Movement) 的筹划单位在 Sandra Escher 博士和 Marius Romme 教授的著作启发下成立他们将「听到声音」视为一种生存策略一种在异常情境下的合理反应不是旁人必须包容的精神分裂症状反而是有待深入研究、复杂、重要且有意义的经验	私は「インターボイス」の一員である事を非常に誇りに思います「国際ヒアリング・ヴォイシズ運動」の組織団体でマウリス・ローム教授とサンドラ・エッシャー博士の仕事に触発されて始められた新しい取り組みですそれは幻聴を総合失調症のおかしな症状でなく異常な状況下で生きる為の正常な反応と位置づけ探索すべき複雑で重要かつ有意義な経験だとしています
But at the same time, we know it ca n't.	Mais en même temps, nous savons que {{ce n'est pas vrai}}.	但是同时我们很清楚它不可能{{存在}}	存在しえないものができます
It's been reported that WikiLeaks, your baby, has, in the last few years has released more classified documents than the rest of the world's media combined.	On a dit que WikiLeaks, votre "" bébé "", a, ces dernières années, révélé publiquement plus de documents classifiés que la totalité de les autres médias dans le monde.	有报道说 “维基揭密 ” — — 你的心血结晶在过去的几年所公布的机密文件数目超过了世界所有媒体公布数的总和	あなたの作った WikiLeaks がこの数年すっぱ抜いてきたものは世界中の報道機関すべてを合わせたよりも多いと伺いました
JA: That's right, yeah. Very rarely do we ever know, and if we find out at some stage then we destroy that information as soon as possible.	JA : C'est vrai, oui. On ne la connait que très rarement. Et si nous la découvrons, à n'importe quel moment, nous détruisons l'information aussi tôt que possible.	JA ： 没错 ， 我们很少知道如果在某阶段我们的确发现了其身份我们也会尽快销毁这一信息	ええ滅多に分かりませんたとえ分かったとしてもすぐに情報を破棄します
JA: Yeah. Two Reuters employees, two young children were wounded.	JA : Ouais. Deux employés de Reuters, et deux jeunes enfants ont été blessés.	JA ： 是的 ， {{包括}}两名路透社职员还有两名儿童受伤	そうです 2 人のロイター記者が{{死に}} 2 人の幼いこどもが重傷を負いました
And there was two journalists involved that clearly were n't insurgents because that's their full - time job.	Et il y avait deux journalistes concernés, qui clairement n'étaient pas des rebelles, parce que c'est leur boulot à plein temps.	两个牵涉其中的记者明显不是叛乱者因为记者才是他们的工作	それにあの 2人は常勤の記者で明らかに反乱者ではありません
I mean, did he?	Alors, il a bien fait ça ?	是吗 ？	本当でしょうか ？
He has been charged, about five days ago, with obtaining 150,000 cables and releasing 50.	Il a été accusé, il y a environ 5 jours, d'avoir détourné 150 000 télégrammes, et d'en avoir dévoilé 50.	他已经被起诉就在 5 天前被控取得 15万电报并且公布了 50 条	5 日ほど前に彼は 15 万本の電信を入手し ― 内 50 本を漏洩したことで告発されました
JA: We would have released them. (CA: You would?) JA: Yeah. (CA: Because?) JA: Well, because these sort of things reveal what the true state of, say, Arab governments are like, the true human-rights abuses in those governments.	JA : Nous les aurions publiées ; (CA : Vraiment ?) JA : Oui. (CA : Pourquoi ?) JA : Hé bien, parce que ce genre de choses révèle dans quel état sont, disons, les gouvernements arabes, les véritables violations de les droits de l'homme dans ces gouvernements.	JA ： 那我们应该已经公布出去了 (CA ： 你真的会{{这样做}} ？) JA ： 是的 (CA ： 原因是?) JA ： 因为这些东西揭露了什么是真实的恩 ， 例如阿拉伯政府的样子在这些政府中漠视人权的真相	(ジュリアン ： 公開します) … {{公開}}するんですね ？ ええ (クリス: どうして ？) このようなものは例えばアラブ諸国の政府における人権侵害が本当のところどうなっているのか明らかにしてくれます
Actually, they're not. My son is n't. How dare you? "" What would you say to that?	En fait, ils ne le sont pas. Mon fils ne l'est pas. Comment osez -vous faire ça ? "" Que répondriez -vous à cela ?	而 实际 上 他们 并 不是 ， 至少 我 儿子 不是 ， 所以 你 怎么 敢 这么 做 ？ 你 对 这样 的 {{父母}} 怎么 解释 ？	息子は違うのになんてことを ！ ” それに対してどう答えますか ？
JA: Oh, come on. There must be some.	JA : Oh, allez. Il doit bien y en avoir.	JA ： 噢拜托 ， 肯定有人{{这么想}}	ほら少しはいるでしょ ！ (笑)
Now here's something that you have n't yet leaked, but I think for TED you are.	Voici maintenant quelque chose que vous n'avez encore fait fuiter, mais pour TED, je pense que vous {{le ferez}}.	这份资料你还没有泄露过将在 TED 上{{首次披露}}	この話はまだ公になっていませんがここ TED にて{{教えて}}くださるそうですね
So late last year — in November last year — there was a series of well blowouts in Albania, like the well blowout in the Gulf of Mexico, but not quite as big.	L'année dernière, en novembre de l'année dernière, il y a eu une série de fuites dans des puits en Albanie comme la fuite dans le Golfe de le Mexique, mais pas aussi importante.	去年年末 — 去年 11 月 — 发生了一系列的油井泄露事件在阿尔巴尼亚类似墨西哥湾的油井泄露只是没有那么大规模	去年の暮れ 11 月にアルバニアで一連の石油流出事故がありましたメキシコ湾の流出事故みたいなものですがそこまで大規模ではありません
JA: Yeah, we have a lot, but I mean, at the moment, we are undergoing a sort of serious fundraising and engineering effort.	JA : Oui, on en a plein, mais en ce moment on mène un sérieux effort de levée de fonds et d'organisation.	JA ： 确实有 ， 而且不少。但目前我们正在进行一系列的资金筹集和技术改良工作	たくさんありますあいにく資金調達や技術的な
When you think of the future then, do you think it's more likely to be Big Brother exerting more control, more secrecy, or us watching Big Brother, or it's just all to be played for either way?	Quand vous pensez à le futur, pensez -vous que ce sera plutôt Big Brother exerçant plus de contrôle, plus de secrets, ou bien nous observant Big Brother, ou juste que ça se jouera dans les deux sens ?	当你展望未来你觉得未来更倾向于发生老大哥 (出自小说 ""1984"" ， 指无处不在的监视者) 施加更多的控制拥有更多秘密还是我们监视老大哥的行为或者为双方服务 ？	社会はどうなっていくと思いますか ？ 巨大な権力による監視が強くなっていくような社会になると思いますか ？ それとも我々が権力を監視するような社会になると思いますか ？ あいるは可能性は五分五分でしょうか ？
I will not pop, spin, break for you.	Je ne sauterai, ni ne tournoierai, ni ne m'arrêterai pour vous.	我不会为你跃起、旋转或停顿。	飛び回ったりブレイクダンスも踊らない
What that means is prepping my outfit, (Laughter) prepping options, trying to figure out what I'm coming behind and going in front of.	Ce que ça signifie, c'est que j'ai préparé ma tenue, (Rires) préparé mes options, essayé de trouver derrière et devant quoi je passe.	那其实是指准备我的着装 ， （ 笑声 ） 准备选项 ， 试图弄清我跟着什么来的 ， 我会留下什么走。	衣装と化粧のことです (笑) オプションを用意しどこから出てきてどこへ行くのか探していました
One woman loses six.	Une femme en perd six.	一个女人丧失了 6 个。	またある女性は ６{{人}}を失い
One woman never did.	Une femme ne l'a jamais {{cru}}.	一个女人从未{{相信过}}。	{{信じたこと}}のない者もある
You know, I think it's probably millions.	Vous savez, je pense que c'est probablement de les millions.	我知道大概有数百万个。	おそらく数百万でしょう
So long-distance movement of tools is a sign of trade, not migration.	Ainsi, le déplacement à longue distance de les outils est un signe de le commerce, pas de migration.	所以长距离移动的工具是贸易的标志 ， 而不是移民。	道具のこのような長距離移動は交易の証で人の移住によるものではありません
I will do so with the help of words, of course, but also a geometrical shape, the circle, so throughout my talk, you will come across several circles.	Je vais le faire à l'aide de mots, bien sûr, mais aussi d'une forme géométrique, le cercle. Ainsi, tout à le long de ma présentation, vous rencontrerez plusieurs cercles.	我不仅会借助一些词汇 ， 当然 ， 还会{{借助}}一些几何图形 ， 圆形。因此在我的整个演讲中 ， 大家会看到一些圆形。	言葉だけではなく幾何学模様と共に話を進めますので話の途中で丸や輪が出てきます
Shortly after, I went to a women's college in Boston, then Michigan.	Peu de temps après, je suis allée dans une université pour femmes de Boston, puis à le Michigan.	不久后 ， 我去了波士顿的一所女子大学 ， 然后去了密歇根州。	ボストンとミシガンで大学に通いましたそこでは地理的な変化よりも
Writers are not seen as creative individuals on their own, but as the representatives of their respective cultures: a few authors from China, a few from Turkey, a few from Nigeria.	Les écrivains ne sont pas considérés comme des individus créatifs isolés, mais comme les représentants de leurs cultures respectives. Quelques auteurs en provenance de Chine, quelques-uns de la Turquie, quelques-uns en provenance de le Nigeria.	作家不被看作有创造力的个人 ， 而是{{被看作}}他们各自文化的代表。一些来自中国的、土耳其的尼日利亚的作家。	一人の個人として見ず個々の文化の代表者として見ているのです中国人作家やトルコ人{{作家}}ナイジェリア人{{作家}}私たちは異様ではなくても
And only the latter is an artist's responsibility. "" Identity politics divides us. Fiction connects.	Et seule la deuxième relève de la responsabilité d'un artiste. "" La politique identitaire nous divise. La fiction {{nous}} relie.	而只有后者才是一名艺术家的责任。 ” 身份政治立场把我们分隔开。小说却把我们连结起来。	アイデンティティ政治は人間を隔て境界線をつくりあげますが
The other, in nuances.	L'autre, à les nuances.	另一个则关乎细节。	ニュアンスで{{心に訴え}}
Albert instructs, "" Push it way up there. "" I do.	"" Pousse -le vers le haut "" me dit Albert. Ce que je fais.	亚伯特指导着 ， ” 把它推上去 “我{{推了}}。	アルバートが指示する「押せ」押す
I do.	Ce que je fais.	我这么做了。	もっと{{押す}}
Because, look, I'm not a social anthropologist but I have a friend who is.	Parce que je ne suis pas anthropologue mais j'ai un ami qui l'est.	因为 ， 虽然我不是个社会人类学家但我有个朋友是	私ではないが私の友達に社会人類学者がいる
In fact, after college I applied to seven art schools and was rejected by all seven.	D'ailleurs, âpres l ’ université, j'ai postulé dans 7 écoles d'arts qui m'ont toutes rejetée.	事实上 ， 大学毕业后我申请了七所艺术学院而无一例外地都遭到了拒绝	大学卒業後にアート・スクール ７ 校に出願しましたが結果は全て不合格でした
The deadline for the show arrived — my paints did n't.	La date limite pour l'exposition approchait ; mais mes peintures n'étaient toujours pas là.	画展快要开幕了可画还没{{运到}}	展示品の締め切りになりましたが作品は{{完成}}していませんでした
The amazing part of this process — and of course, I mean, I would love to — I only have 18 minutes, I've already given you quite a substantial amount of my time, right?	La partie stupéfiante de ce processus — et bien sûr , je veux dire , j ’ aimerais le {{faire}} — je n ’ ai que 18 minutes , je vous ai déjà donné un sacré bout de mon temps , non ?		
And since there are many more not - number - one spots on the list than there is number ones, it makes perfect sense not to want to do such a list.	Et puisqu ’ il y a beaucoup plus de non « premiers-sur-la-liste » que de premiers sur la {{liste}} , c ’ est tout à faire logique de ne pas vouloir établir une telle liste .	正 因为 清 单 上 的 非 首要 {{项目}}， 远远 比 首要 项 目多 ， 理 所 当然 地 没有 人想 订定 这 张 清单 。	
It's very complicated to test the new material for the building, but this is much stronger than I expected, and also it's very easy to waterproof, and also, because it's industrial material, it's also possible to fireproof.	Ça a été très compliqué de tester cette nouvelle matière pour le bâtiment , mais il en ressort que c' est bien plus résistant que prévu , et on peut aussi très facilement rendre cette {{structure}} imperméable , De plus , parce que c' est une matière industrielle , il est également possible de l' ignifuger .		新しい 材料 を 建築 に 取り入れる 試験 は 非常 に 複雑 な もの です が {{紙管}} は 当初 思っ て い た より も はるか に 強く 防水 加工 も とても 簡単 で す さら に 産業 資材 です から 耐火 処理 を 施す の も 可能 です
