Ellipsis (0 = no, 1 = yes)	English sentence																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	So how do you actually go around finding online criminals?																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	How do you actually track them down?																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Let me give you an example.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	What we have here is one exploit file.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Here, I'm looking at the Hex dump of an image file, which contains an exploit.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And that basically means, if you're trying to view this image file on your Windows computer, it actually takes over your computer and runs code.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Now, if you'll take a look at this image file — well there's the image header, and there the actual code of the attack starts.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And that code has been encrypted, so let's decrypt it.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	It has been encrypted with XOR function 97.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
1	You just have to believe me, it is, it is.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And we can go here and actually start decrypting it.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Well the yellow part of the code is now decrypted.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And I know, it does n't really look much different from the original.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	But just keep staring at it.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	You'll actually see that down here you can see a Web address: unionseek.com / d / ioo.exe And when you view this image on your computer it actually is going to download and run that program.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And that's a backdoor which will take over your computer.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	But even more interestingly, if we continue decrypting, we'll find this mysterious string, which says O600KO78RUS.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	That code is there underneath the encryption as some sort of a signature.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	It's not used for anything.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And I was looking at that, trying to figure out what it means.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	So obviously I Googled for it.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
1	I got zero hits; was n't there.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	So I spoke with the guys at the lab.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And we have a couple of Russian guys in our labs, and one of them mentioned, well, it ends in RUS like Russia.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And 78 is the city code for the city of St. Petersburg.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	For example, you can find it from some phone numbers and car license plates and stuff like that.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	So I went looking for contacts in St. Petersburg, and through a long road, we eventually found this one particular website.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Here's this Russian guy who's been operating online for a number of years who runs his own website, and he runs a blog under the popular Live Journal.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And on this blog, he blogs about his life, about his life in St. Petersburg — he's in his early 20s — about his cat, about his girlfriend.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And he drives a very nice car.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	In fact, this guy drives a Mercedes - Benz S600 V12 with a six - liter engine with more than 400 horsepower.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Now that's a nice car for a 20 - something year - old kid in St. Petersburg.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	How do I know about this car?																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Because he blogged about the car.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	He actually had a car accident.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	In downtown St. Petersburg, he actually crashed his car into another car.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And he put blogged images about the car accident — that's his Mercedes — right here is the Lada Samara he crashed into.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And you can actually see that the license plate of the Samara ends in 78RUS.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And if you actually take a look at the scene picture, you can see that the plate of the Mercedes is O600KO78RUS.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Now I'm not a lawyer, but if I would be, this is where I would say, "" I rest my case. "" (Laughter) So what happens when online criminals are caught?																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Well in most cases it never gets this far.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	The vast majority of the online crime cases, we do n't even know which continent the attacks are coming from.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And even if we are able to find online criminals, quite often there is no outcome.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
1	The local police do n't act, or if they do, there's not enough evidence, or for some reason we ca n't take them down.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
1	I wish it would be easier; unfortunately it is n't.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	But things are also changing at a very rapid pace.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	You've all heard about things like Stuxnet.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	So if you look at what Stuxnet did is that it infected these.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	That's a Siemens S7-400 PLC, programmable logic [controller].																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And this is what runs our infrastructure.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	This is what runs everything around us.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	PLC's, these small boxes which have no display, no keyboard, which are programmed, are put in place, and they do their job.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	For example, the elevators in this building most likely are controlled by one of these.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And when Stuxnet infects one of these, that's a massive revolution on the kinds of risks we have to worry about.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Because everything around us is being run by these.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I mean, we have critical infrastructure.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	You go to any factory, any power plant, any chemical plant, any food processing plant, you look around — everything is being run by computers.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Everything is being run by computers.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Everything is reliant on these computers working.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	We have become very reliant on Internet, on basic things like electricity, obviously, on computers working.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	And this really is something which creates completely new problems for us.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	We must have some way of continuing to work even if computers fail.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	(Laughter) (Applause) So preparedness means that we can do stuff even when the things we take for granted are n't there.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	It's actually very basic stuff — thinking about continuity, thinking about backups, thinking about the things that actually matter.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Now I told you — (Laughter) I love the Internet. I do.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Think about all the services we have online.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	Think about if they are taken away from you, if one day you do n't actually have them for some reason or another.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
0	I see beauty in the future of the Internet, but I'm worried that we might not see that.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
